"Gene","Group"
"CDSN","HALLMARK_APICAL_JUNCTION"
"CERCAM","HALLMARK_APICAL_JUNCTION"
"CLDN11","HALLMARK_APICAL_JUNCTION"
"CLDN14","HALLMARK_APICAL_JUNCTION"
"CLDN15","HALLMARK_APICAL_JUNCTION"
"CLDN18","HALLMARK_APICAL_JUNCTION"
"CLDN19","HALLMARK_APICAL_JUNCTION"
"CLDN4","HALLMARK_APICAL_JUNCTION"
"CLDN5","HALLMARK_APICAL_JUNCTION"
"CLDN6","HALLMARK_APICAL_JUNCTION"
"CLDN7","HALLMARK_APICAL_JUNCTION"
"CLDN8","HALLMARK_APICAL_JUNCTION"
"CLDN9","HALLMARK_APICAL_JUNCTION"
"CNN2","HALLMARK_APICAL_JUNCTION"
"CNTN1","HALLMARK_APICAL_JUNCTION"
"COL16A1","HALLMARK_APICAL_JUNCTION"
"COL17A1","HALLMARK_APICAL_JUNCTION"
"COL9A1","HALLMARK_APICAL_JUNCTION"
"CRAT","HALLMARK_APICAL_JUNCTION"
"CRB3","HALLMARK_APICAL_JUNCTION"
"CTNNA1","HALLMARK_APICAL_JUNCTION"
"CTNND1","HALLMARK_APICAL_JUNCTION"
"CX3CL1","HALLMARK_APICAL_JUNCTION"
"DHX16","HALLMARK_APICAL_JUNCTION"
"DLG1","HALLMARK_APICAL_JUNCTION"
"DMP1","HALLMARK_APICAL_JUNCTION"
"DSC1","HALLMARK_APICAL_JUNCTION"
"DSC3","HALLMARK_APICAL_JUNCTION"
"EGFR","HALLMARK_APICAL_JUNCTION"
"EPB41L2","HALLMARK_APICAL_JUNCTION"
"EVL","HALLMARK_APICAL_JUNCTION"
"EXOC4","HALLMARK_APICAL_JUNCTION"
"FBN1","HALLMARK_APICAL_JUNCTION"
"FLNC","HALLMARK_APICAL_JUNCTION"
"FSCN1","HALLMARK_APICAL_JUNCTION"
"FYB","HALLMARK_APICAL_JUNCTION"
"GAMT","HALLMARK_APICAL_JUNCTION"
"GNAI1","HALLMARK_APICAL_JUNCTION"
"GNAI2","HALLMARK_APICAL_JUNCTION"
"GRB7","HALLMARK_APICAL_JUNCTION"
"GTF2F1","HALLMARK_APICAL_JUNCTION"
"HADH","HALLMARK_APICAL_JUNCTION"
"HRAS","HALLMARK_APICAL_JUNCTION"
"ICAM1","HALLMARK_APICAL_JUNCTION"
"ICAM2","HALLMARK_APICAL_JUNCTION"
"ICAM4","HALLMARK_APICAL_JUNCTION"
"ICAM5","HALLMARK_APICAL_JUNCTION"
"IKBKG","HALLMARK_APICAL_JUNCTION"
"INPPL1","HALLMARK_APICAL_JUNCTION"
"INSIG1","HALLMARK_APICAL_JUNCTION"
"IRS1","HALLMARK_APICAL_JUNCTION"
"ITGA10","HALLMARK_APICAL_JUNCTION"
"ITGA2","HALLMARK_APICAL_JUNCTION"
"ITGA3","HALLMARK_APICAL_JUNCTION"
"ITGA9","HALLMARK_APICAL_JUNCTION"
"ITGB1","HALLMARK_APICAL_JUNCTION"
"ITGB4","HALLMARK_APICAL_JUNCTION"
"JAM3","HALLMARK_APICAL_JUNCTION"
"JUP","HALLMARK_APICAL_JUNCTION"
"KCNH2","HALLMARK_APICAL_JUNCTION"
"KRT31","HALLMARK_APICAL_JUNCTION"
"LAMA3","HALLMARK_APICAL_JUNCTION"
"LAMB3","HALLMARK_APICAL_JUNCTION"
"LAMC2","HALLMARK_APICAL_JUNCTION"
"LAYN","HALLMARK_APICAL_JUNCTION"
"LDLRAP1","HALLMARK_APICAL_JUNCTION"
"LIMA1","HALLMARK_APICAL_JUNCTION"
"MADCAM1","HALLMARK_APICAL_JUNCTION"
"MAP4K2","HALLMARK_APICAL_JUNCTION"
"MAPK11","HALLMARK_APICAL_JUNCTION"
"MAPK13","HALLMARK_APICAL_JUNCTION"
"MAPK14","HALLMARK_APICAL_JUNCTION"
"MDK","HALLMARK_APICAL_JUNCTION"
"MMP2","HALLMARK_APICAL_JUNCTION"
"MMP9","HALLMARK_APICAL_JUNCTION"
"MPP5","HALLMARK_APICAL_JUNCTION"
"MPZL1","HALLMARK_APICAL_JUNCTION"
"MPZL2","HALLMARK_APICAL_JUNCTION"
"MSN","HALLMARK_APICAL_JUNCTION"
"MVD","HALLMARK_APICAL_JUNCTION"
"MYH10","HALLMARK_APICAL_JUNCTION"
"MYH9","HALLMARK_APICAL_JUNCTION"
"MYL12B","HALLMARK_APICAL_JUNCTION"
"MYL9","HALLMARK_APICAL_JUNCTION"
"NEGR1","HALLMARK_APICAL_JUNCTION"
"NEXN","HALLMARK_APICAL_JUNCTION"
"NF1","HALLMARK_APICAL_JUNCTION"
"NF2","HALLMARK_APICAL_JUNCTION"
"NFASC","HALLMARK_APICAL_JUNCTION"
"NLGN2","HALLMARK_APICAL_JUNCTION"
"NLGN3","HALLMARK_APICAL_JUNCTION"
"NRAP","HALLMARK_APICAL_JUNCTION"
